,left_ax
23517,0.032793574
23518,0.09030323
23519,0.5016447
23520,0.34548196
23521,-0.21572104
23522,0.04427868
23523,0.05179976
23524,0.29163468
23525,-0.102857165
23526,-0.88171154
23527,-0.4445049
23528,-0.78541005
23529,-0.9341999
23530,-0.9458144
23531,-0.36267364
23532,0.58140695
23533,-0.07866903
23534,-0.4389931
23535,-0.71853846
23536,-0.7975557
23537,-0.5806103
23538,-0.07395868
23539,0.41746494
23540,0.7342959
23541,0.8554312
23542,0.8244379999999999
23543,0.6122844
23544,0.16209513
23545,-0.09710546
23546,-0.18584897
23547,-0.20138338
23548,-0.12592101
23549,0.034765054
23550,0.19428629
23551,0.23815158
23552,0.24177653
23553,0.23770113
23554,0.23136197
23555,0.20704393
23556,0.12372946
23557,0.08170404
23558,0.09855622
23559,0.10959487
23560,0.06504836
23561,-0.041492775
23562,-0.070870444
23563,-0.10917693
23564,-0.16655329
23565,-0.20482463
23566,-0.21357755
23567,-0.23237538
23568,-0.30000007
23569,-0.30386245
23570,-0.24687633
23571,-0.17427143
23572,-0.13515101
23573,-0.14803055
23574,-0.12088191
23575,-0.11634012
23576,-0.13088955
23577,-0.15626226
23578,-0.18277451
23579,-0.20048161
23580,-0.18403679
23581,-0.17924705
23582,-0.1584877999999999
23583,-0.115879886
23584,-0.080660544
23585,-0.09072374
23586,-0.102837406
23587,-0.12326571
23588,-0.15454967
23589,-0.19302998
23590,-0.226432
23591,-0.20810768
23592,-0.22219898
23593,-0.23913035
23594,-0.25495517
23595,-0.28901088
23596,-0.40732506
23597,-0.43153182
23598,-0.2724222
23599,-0.05571614
23600,0.082283095
23601,0.088656925
23602,-0.1450076
23603,-0.2551527
23604,-0.26832965
23605,-0.21673799
23606,-0.13787545
23607,-0.1868731
23608,-0.21047714
23609,-0.21241905
23610,-0.17632633
23611,-0.110985406
23612,-0.10381485
23613,-0.09475124
23614,-0.12429131
23615,-0.14480676
23616,-0.13362388
23617,-0.10565965
23618,-0.15943755
23619,-0.15701792
23620,-0.151041
23621,-0.121358514
23622,-0.049874924
23623,-0.018006537
23624,-0.028512998
23625,-0.013732228
23626,-0.008216757
23627,-0.018574337
23628,-0.0054077743999999
23629,-0.0070013977
23630,0.01275837
23631,0.0644213
23632,0.120953225
23633,0.14485559
23634,0.1325066
23635,0.08502652
23636,-0.058862336
23637,-0.1920869
23638,-0.26292524
23639,-0.35136
23640,-0.2108926
23641,-0.006397115
23642,0.228086
23643,0.32958868
23644,0.21858485
23645,0.32242608
23646,0.3628721
23647,0.10322727
23648,-0.088805795
23649,-0.07084985
23650,0.0051538525
23651,-0.2592452
23652,-0.3585172
23653,-0.21312122
23654,-0.1433362
23655,-0.26088512
23656,-0.24249004
23657,-0.26020128
23658,-0.37012726
23659,-0.4245396
23660,-0.45427144
23661,-0.51203704
23662,-0.5043907999999999
23663,-0.57459986
23664,-0.60952216
23665,-0.6249526999999999
23666,-0.6170844
23667,-0.574128
23668,-0.5415232
23669,-0.46255326
23670,-0.43793213
23671,-0.3336906
23672,-0.22286378
23673,-0.40946227
23674,-0.3028173
23675,-0.18099587
23676,-0.055717364
23677,0.034327164
23678,0.064270504
23679,0.056220982
23680,0.048171263
23681,0.04573609
23682,0.03972381
23683,0.012057767
23684,-0.055951837
23685,-0.17187986
23686,-0.28294185
23687,-0.38500923
23688,-0.4775862
23689,-0.561812
23690,-0.6393810000000001
23691,-0.70578253
23692,-0.76768583
23693,-0.8299124
23694,-0.8889945
23695,-0.9400656
23696,-0.9797896
23697,-1.0095735
23698,-1.0329143
23699,-1.0529921
23700,-1.069646
23701,-1.0807592
23702,-1.0827713
23703,-1.0851661
23704,-1.0783794
23705,-1.0655701000000002
23706,-1.0496483
23707,-1.0322213
23708,-1.0137069
23709,-0.9980503
23710,-0.9781383
23711,-0.9563755
23712,-0.9358486
23713,-0.91763103
23714,-0.8967023000000001
23715,-0.8754433
23716,-0.8541101999999999
23717,-0.8350315999999999
23718,-0.8182801
23719,-0.7969510999999999
23720,-0.7740475
23721,-0.74895674
23722,-0.71988064
23723,-0.6895811
23724,-0.6619579000000001
23725,-0.63257647
23726,-0.596221
23727,-0.5634201
23728,-0.5290913
23729,-0.49026135
23730,-0.4495395
23731,-0.41975626
